,sentence,UMAP0,UMAP1
198,Getting to know software and maintaining expertise comes at a high cost when numerous potentially incompatible platforms are used.,-4.925793,5.828427
199,Interoperability between software is another key feature to consider.,-4.958375,5.678733
200,"For example, we discourage using software that comes with proprietary custom file formats and suggest using broadly available file formats instead.",-4.439671,5.7493014
201,"Most prominently, there are some software packages with custom formats for project files.",-4.403194,5.5198855
202,"We recommend making sure these project files can be accessed with common text editors and contain human-readable text that is based on standard formats such as XML, JSON, YAML or CSV.",-4.411952,5.6417413
203,"It also appears beneficial if software has capabilities for workflow automation or, in the case of plugins, can be automated using the platform they can be integrated with.",-4.03779,5.4456587
204,"For example, software with a great built-in segmentation algorithm can become a major bottleneck if the algorithm cannot be integrated with other software, e.g. for pre- processing, post-processing, feature-extraction and statistical analysis.",-4.168924,6.4167776
205,Striving for reproducible bio-image analysis workflows with minimal manual interaction steps is key for analyzing large amounts of image data leading to insights cemented by appropriate measurements exhibiting statistical power.,-3.9067929,8.169358
206,"If the software supports forming and properly documenting such automated workflows, reproducibility and interpretability of results can be ensured (Miura and Nørrelykke 2021).",-4.0557303,5.6911764
207,"Other technical aspects such as big data capabilities play a key role, especially when new microscopy techniques potentially producing more and more data are published every year.",-3.860601,7.2688856
208,"Many software packages claim the ability to work with big data, but often refer to visualization only or refer to big data as many images with a size of megabytes to gigabytes each.",-3.7019196,6.485277
209,"On the other hand, software packages capable of processing big volumetric image data in the range of terabytes and petabytes to produce quantitative analysis results are still rare and often limited in other aspects, for example image data dimensionality or imaging modality.",-3.837296,6.517684
210,"We see more and more web-based solutions being published diminishing the need to buy expensive computational hardware, to train and execute neural network architectures.",-3.8618212,6.800356
211,"When using web-based solutions in the cloud, institutional, national and international laws have to be respected.",-4.959261,5.83126
212,Additional technical burdens hinder the wide adoption of cloud computing at the moment.,-4.9017634,5.849124
213,"For example, uploading multiple terabytes of imaging data from a European institute to an American computing server is not just challenging from a legal but also from the file transfer bandwidth perspective.",-3.7946918,6.345136
214,We assume these burdens will fall in the next decade and the technology will become available to more and more researchers as the benefits of using it outweigh the risks.,-4.6058264,6.352434
215,"Hence, choosing a software that is interoperable with cloud-computing and cloud-storage technologies appears a future-proof approach.",-4.8337173,5.6669917
216,"Many image analysis tasks have a substantial number of solutions that have been developed, and it can often be unclear which solution is most appropriate for a user’s specific problem.",-4.059984,6.4752684
217,"Several image analysis fields have established benchmarking challenges, whereby software is applied to exemplar datasets and performance is automatically and independently assessed.",-4.0233126,6.4510736
218,"Such challenges exist for cell tracking (Ulman et al. 2017; “Cell Tracking Benchmark” 2022), cell segmentation (Arganda-Carreras et al. 2015), electron microscopy image segmentation (Wei et al. 2020) and single molecule localization (Sage et al. 2019).",-1.869742,8.668991
219,"These provide users with a quantitative comparison of the state-of-the-art, along with test datasets and guidance for quality reporting.",-4.0938354,6.23763
220,Community aspects should also be taken into account when choosing the right image analysis software.,-4.83161,6.813345
221,"A key role in bio-image analysis for microscopy is played by the Image Science community https://image.sc, an online forum where developers and users of most software listed in the glossary are actively supporting each other by providing support and feedback (Figure 1).",-4.6451354,7.7527537
222,"Before using a software mid-/long-term, users may want to explore this forum and other online platforms to figure out how actively supported the software is by a broader community.",-5.3082743,6.3761096
223,"Furthermore, some software communities hold regular virtual community meetings, where users and plugin-developers can get in touch with core-developers to exchange ideas, use-cases and receive support.",-5.342025,6.7928777
224,The weekly community meeting of the napari community and the open office hours of the CellProfiler community shall be highlighted here as well-appreciated examples.,-4.887377,7.1545534
225,"For staying up-to-date with new developments in bio-image analysis software, following new media channels such as the NEUBIAS Academy YouTube channel (NEUBIAS 2020) and the @Talk_BioImg Twitter bot which retweets posts containing the #BioImageAnalysis hashtag should be considered as well for an audience with general interest in the field, e.g. postdocs and core-facility staff working on applied bio-image analysis and image data science.",-4.6133814,7.6438646
226,"In addition, the Global Bioimaging infrastructure is organizing image analysis courses and providing a training resource for core facility staff and image analysis community.",-4.783529,7.4802046
227,"From a group leader's and an institutional decision maker’s perspective, guiding scientists towards using a common software platform makes sense.",-5.2107916,6.553129
228,"The more local collaborators work with the same software, and maybe just use different plugins, the more they can support each other and exchange knowledge.",-5.320576,6.6466665
229,"If it is apparent that a majority of the group or institute members are using the same software, an institute can strengthen this community by inviting the developers of that software annually for courses and seminars.",-5.377979,6.6920333
230,Building this bridge between users and developers is of mutual benefit:,-5.3073997,6.646342
231,"While the users receive support and training from experts, the experts can establish collaborations with power users leading to scientific publications.",-5.343283,6.6819997
232,These applied-science publications are key to grant applications and sustainable maintenance of research software.,-4.891366,6.217239
233,Conclusions and Perspectives Comparing the bio-image analysis software universe one decade ago to its state now clearly shows that it is expanding.,-4.051196,7.6261663
234,Multiple huge ecosystems grew from a small number of general- purpose software developed more than a decade ago.,-4.6709146,5.920014
235,"Recently, many of those platforms are increasing their efforts to build bridges, which is appreciated from our bio-image analysis workflow designers` perspective.",-4.654364,7.4063582
236,"Users are well-advised to use interoperable, established, sustainably maintained software packages for their research.",-5.105662,6.0846086
237,"Also keeping an eye on recent developments, especially in the deep learning context, makes a lot of sense, while staying a brave scientist and questioning those new methods.",-3.9371371,7.27224
238,Such critical thinking is necessary to solidify knowledge about new methods before eventually adopting them as community standards.,-4.8695426,6.5581703
239,Last but not least we want to emphasize that the decision on which software to use for specific research projects should be made in groups.,-5.055846,6.449278
240,"Getting in touch with local, regional and global experts and discussing advantages and disadvantages is the right path in a growing universe of bio-image analysis software.",-4.895856,7.2700076
241,"Acknowledgements We would like to thank Mafalda Sousa (I3S, Porto), Ignacio Arganda-Carreras (Universidad del Pais Vasco, Donostia-San Sebastian), Martin Jones (The Francis Crick Institute, London) for reviewing the manuscript and providing constructive feedback prior to submission.",-3.1155477,8.872906
242,RH acknowledges support by the Deutsche Forschungsgemeinschaft under Germany’s Excellence Strategy - EXC2068 - Cluster of Excellence Physics of Life of TU Dresden.,-5.039327,7.783674
243,"EF, IB and EJ acknowledge support by Biomedicum Imaging Unit and Electron Microscopy Unit, Helsinki University, as a part of Biocenter Finland infrastructure.",-4.9702544,7.862295
244,"CT acknowledges support by grant number 2020- 225265 from the Chan Zuckerberg Initiative DAF, an advised fund of Silicon Valley Community Foundation.",-5.030764,7.6304026
245,SC acknowledges support from a Royal Society University Research Fellowship.,-5.0474753,7.7301307
246,"AK was funded via the BioImage Informatics Facility, a unit of the National Bioinformatics Infrastructure Sweden NBIS, with funding from SciLifeLab, National Microscopy Infrastructure NMI (VR-RFI 2019-00217), and the Chan-Zuckerberg Initiative.",-4.894796,7.739504
247,Figures Figure 1:,0.76285005,7.8779755
248,Screenshot of the image.sc forum in April 2022 showing the logos of the community partners and related communities.,-4.605827,7.931787
249,"Listed open-source projects provide online support for their software on this platform, which might be a key-criterion when deciding for which software to use.",-5.189703,6.171105
250,Tables download for filtering available interactive Supplementary Table 1:,-0.06362508,7.702251
251,List of the software terms from the glossary with categorical information and capabilities https://cloudstore.zih.tu-dresden.de/index.php/s/AaLoe38QJN5aN48 .,-4.4322076,5.485816
252,"The software is classified according to a user interface in Standalone Application with GUI, Command Line interface and Online platforms.",-4.2612453,5.330116
253,"Furthermore, plugins that are parts of other software are differentiated from frameworks which serve as basis for others and software that is extensible using plugins.",-4.44595,5.4823885
254,Scriptable software and programming languages are specified as well.,-3.6612089,5.0023065
255,"A classification in Components, Collections and Workflow as suggested by (Miura and Sladoje 2019) is also provided.",-4.1957283,5.6950636
256,We differentiate between Open Source software and software that is available free of charge.,-4.7544084,5.6443295
257,"Image processing features are categorized according to the categories Acquisition, Reconstruction, Deconvolution, Denoising, Background removal, Registration, Stitching, Manual annotation, Segmentation, Surface extraction, Object Tracking tracing, Quantification / feature extraction, Statistical analysis, Visualization and Plotting.",-3.0306535,6.582161
258,The given preferred data dimensionality and preferred modality specify which use-cases a software was made for.,-4.082088,5.9824257
259,"The software may be applicable to data of other dimensionality and from other modalities. lineage / cell References Adams, Douglas, and John Lloyd. 1983.",-4.050705,7.4495406
260,The Meaning of Liff.,1.2323925,8.066635
261,Pan.,1.3404121,7.975841
262,"Afgan, Enis, Dannon Baker, Bérénice Batut, Marius van den Beek, Dave Bouvier, Martin Cech, John Chilton, et al. 2018. “The Galaxy Platform for Accessible, Reproducible and Collaborative Biomedical Analyses: 2018 Update.” Nucleic Acids Research 46 (W1):",-1.3885328,8.181553
263,W537– 44.,1.4558399,8.037761
264,"Ahrens, James, Berk Geveci, and Charles Law. 2005. “ParaView:",1.5151316,7.1731544
265,"An End-User Tool for Large- Data Visualization.” In Visualization Handbook, 717–31.",-2.9282854,7.170828
266,Elsevier.,0.47214904,8.127453
267,"Aigouy, Benoit, Claudio Cortes, Shanda Liu, and Benjamin Prud’Homme. 2020. “EPySeg:",1.9360194,5.837522
268,A Coding-Free Solution for Automated Segmentation of Epithelia Using Deep Learning.” Development 147 (24). https://doi.org/10.1242/dev.194589.,-2.7944882,7.8965545
269,"Allan, Chris, Jean-Marie Burel, Josh Moore, Colin Blackburn, Melissa Linkert, Scott Loynton, Donald Macdonald, et al. 2012. “OMERO:",1.7306732,5.8721294
270,"Flexible, Model-Driven Data Management for Experimental Biology.” Nature Methods 9 (3): 245–53.",-3.6817563,8.541319
271,"Arganda-Carreras, Ignacio, Verena Kaynig, Curtis Rueden, Kevin W.",2.8616948,6.817908
272,"Eliceiri, Johannes Schindelin, Albert Cardona, and H.",2.7109506,6.192412
273,Sebastian Seung. 2017. “Trainable Weka Segmentation:,-1.7577956,6.5914383
274,A Machine Learning Tool for Microscopy Pixel Classification.” Bioinformatics 33 (15): 2424– 26.,-3.072249,8.3638525
275,"Arganda-Carreras, Ignacio, Srinivas C.",2.778741,6.818681
276,"Turaga, Daniel R.",1.9071418,7.7001085
277,"Berger, Dan Cireşan, Alessandro Giusti, Luca M.",2.6248806,6.428099
278,"Gambardella, Jürgen Schmidhuber, et al. 2015. “Crowdsourcing the Creation of Image Segmentation Algorithms for Connectomics.” Frontiers in Neuroanatomy 9 (November): 142.",-1.7288805,8.177362
279,"Arshadi, Cameron, Ulrik Günther, Mark Eddison, Kyle I.",2.4709706,6.4603615
280,S.,1.4115431,7.8357706
281,"Harrington, and Tiago A.",2.1272202,8.122186
282,Ferreira. 2021. “SNT:,1.1517648,7.256484
283,A Unifying Toolbox for Quantification of Neuronal Anatomy.” Nature Methods 18 (4): 374–77.,-1.9682328,8.334912
284,"Avants, Brian B., Nicholas J.",2.5851576,7.2700076
285,"Tustison, Gang Song, Philip A.",2.0796413,7.6438384
286,"Cook, Arno Klein, and James C.",2.2307348,6.728361
287,Gee. 2011. “A Reproducible Evaluation of ANTs Similarity Metric Performance in Brain Image Registration.” NeuroImage 54 (3): 2033–44.,-1.9652857,7.8561707
288,"Axelrod, Shannon, Matthew Cai, Ambrose Carr, Jeremy Freeman, Deep Ganguli, Justin Kiggins, Brian Long, Tony Tung, and Kevin Yamauchi. 2021. “Starfish:",2.0126324,6.0663757
289,Scalable Pipelines for Image- Based Transcriptomics.” Journal of Open Source Software 6 (61): 2440.,-3.3441043,8.622765
290,"Ball, Graeme, Justin Demmerle, Rainer Kaufmann, Ilan Davis, Ian M.",2.525363,6.298324
291,"Dobbie, and Lothar Schermelleh. 2015. “SIMcheck:",1.1149988,6.901795
292,A Toolbox for Successful Super-Resolution Structured Illumination Microscopy.” Scientific Reports 5 (November): 15915.,-1.1369263,9.122115
293,"Bankhead, Peter, Maurice B.",2.1454601,7.5649657
294,"Loughrey, José A.",1.7966244,8.3189535
295,"Fernández, Yvonne Dombrowski, Darragh G.",2.719761,6.835134
296,"McArt, Philip D.",2.201419,7.5990086
297,"Dunne, Stephen McQuaid, et al. 2017. “QuPath:",-1.6855967,8.63156
298,Open Source Software for Digital Pathology Image Analysis.” Scientific Reports 7 (1): 16878.,-3.4656668,8.729001
299,"Barbier de Reuille, Pierre, Anne-Lise Routier-Kierzkowska, Daniel Kierzkowski, George W.",2.110799,7.0302706
300,"Bassel, Thierry Schüpbach, Gerardo Tauriello, Namrata Bajpai, et al. 2015. “MorphoGraphX:",0.03351413,7.2017026
301,A Platform for Quantifying Morphogenesis in 4D.” eLife 4 (May): 05864.,-2.9201849,7.7182937
302,"Batson, Joshua, and Loic Royer. 2019. “Noise2Self:",1.872433,5.819372
303,Blind Denoising by Self-Supervision.” http://arxiv.org/abs/1901.11365.,-1.0504715,8.021572
304,"Belevich, Ilya, Merja Joensuu, Darshan Kumar, Helena Vihinen, and Eija Jokitalo. 2016. “Microscopy Image Browser:",-1.1509899,8.680035
305,A Platform for Segmentation and Analysis of Multidimensional Datasets.” PLoS Biology 14 (1): e1002340.,-3.4597118,8.508895
306,"Belevich, Ilya, and Eija Jokitalo. 2021. “DeepMIB:",1.1954885,6.3198643
307,User-Friendly and Open-Source Software for Training of Deep Learning Network for Biological Image Segmentation.” PLoS Computational Biology 17 (3): e1008374.,-2.8412662,7.9888277
308,"Berg, Stuart, Dominik Kutra, Thorben Kroeger, Christoph N.",2.379947,6.4505324
309,"Straehle, Bernhard X.",1.7471201,6.9727173
310,"Kausler, Carsten Haubold, Martin Schiegg, et al. 2019. “Ilastik:",1.6328957,6.7191653
311,Interactive Machine Learning for (bio)image Analysis.” Nature Methods 16 (12): 1226–32.,-3.2938807,8.190956
312,"Berthold, Michael R., Nicolas Cebron, Fabian Dill, Thomas R.",2.4662979,6.929079
313,"Gabriel, Tobias Kötter, Thorsten Meinl, Peter Ohl, Christoph Sieb, Kilian Thiel, and Bernd Wiswedel. 2008. “KNIME:",1.8094847,6.607514
314,"The Konstanz Information Miner.” In Data Analysis, Machine Learning and Applications, 319–26.",-1.5788182,5.481226
315,"Studies in Classification, Data Analysis, and Knowledge Organization.",-1.6435763,5.487075
316,"Berlin, Heidelberg:",1.7269137,7.22984
317,Springer Berlin Heidelberg. “BioImage Informatics Index.” 2022. 2022. https://biii.eu.,-2.6587439,8.428786
318,Blender Foundation. 2022. “Blender.org - Home of the Blender Project - Free and Open 3D Creation Software.” 2022. https://www.blender.org/.,-4.0799994,7.566332
319,"Boergens, Kevin M., Manuel Berning, Tom Bocklisch, Dominic Bräunlein, Florian Drawitsch, Johannes Frohnhofen, Tom Herold, et al. 2017. “webKnossos:",1.7443178,6.6345105
320,Efficient Online 3D Data Annotation for Connectomics.” Nature Methods 14 (7): 691–94.,-1.9751537,8.253658
321,"Bradski, G. 2000. “The OpenCV Library.” In Dr Dobb’s Journal of Software Tools.",-2.4751754,6.812454
322,"Burnley, Tom, Colin M.",2.3447323,7.6014876
323,"Palmer, and Martyn Winn. 2017. “Recent Developments in the CCP-EM Software Suite.” Acta Crystallographica.",-2.3324802,9.603421
324,"Section D, Structural Biology 73 (Pt 6): 469–77.",-2.6458864,9.488616
325,"Cardona, Albert, Stephan Saalfeld, Johannes Schindelin, Ignacio Arganda-Carreras, Stephan Preibisch, Mark Longair, Pavel Tomancak, Volker Hartenstein, and Rodney J.",2.4925885,6.3937383
326,Douglas. 2012. “TrakEM2 Software for Neural Circuit Reconstruction.” PloS One 7 (6): e38011. “CCPi Tomographic Imaging.” 2022. 2022. http://www.ccpi.ac.uk/. “Cell Tracking Benchmark.” 2022. 2022. http://celltrackingchallenge.net/latest-ctb-results/.,-1.4607341,8.431822
327,"Chamier, Lucas von, Romain F.",2.4174712,6.1783648
328,"Laine, Johanna Jukkala, Christoph Spahn, Daniel Krentzel, Elias Nehme, Martina Lerche, et al. 2021. “Democratising Deep Learning for Microscopy with ZeroCostDL4Mic.” Nature Communications 12 (1): 2276.",-1.1750162,8.3009615
329,"Chaumont, Fabrice de, Stéphane Dallongeville, Nicolas Chenouard, Nicolas Hervé, Sorin Pop, Thomas Provoost, Vannary Meas-Yedid, et al. 2012. “Icy:",2.1369464,5.753164
330,An Open Bioimage Informatics Platform for Extended Reproducible Research.” Nature Methods 9 (7): 690–96.,-3.5082898,8.63971
331,"Chiaruttini, Nicolas, Olivier Burri, Peter Haub, Romain Guiet, Jessica Sordet-Dessimoz, and Arne Seitz. 2022. “An Open-Source Whole Slide Image Registration Workflow at Cellular Precision Using Fiji, QuPath and Elastix.” Frontiers (January). https://doi.org/10.3389/fcomp.2021.780026. in Computer Science 3 Culley, Siân, David Albrecht, Caron Jacobs, Pedro Matos Pereira, Christophe Leterrier, Jason Mercer, and Ricardo Henriques. 2018. “Quantitative Mapping and Minimization of Super- Resolution Optical Imaging Artifacts.” Nature Methods 15 (4): 263–66. “Discourse - Civilized Discussion.” 2022.",-1.1992149,8.253316
332,Discourse - Civilized Discussion. 2022. https://www.discourse.org/.,-4.568086,7.968428
333,"Domander, Richard, Alessandro A.",2.5764332,6.733334
334,"Felder, and Michael Doube. 2021. “BoneJ2 - Refactoring Established Research Software.” Wellcome Open Research 6 (February): 37.",-1.1715316,7.407573
335,"Dzmitry Malyshau, Kai Ninomiya, Brandon Jones (Editors). 2022. “WebGPU.” 2022. https://www.w3.org/TR/webgpu/.",-1.0627826,6.7909684
336,"Edelstein, Arthur, Nenad Amodaj, Karl Hoover, Ron Vale, and Nico Stuurman. 2010. “Computer Control of Microscopes Using µManager.” Current Protocols in Molecular Biology / Edited by Frederick M.",-1.7858509,9.381589
337,Ausubel ... [et Al.] Chapter 14 (October):,0.8221973,7.9715853
338,Unit14.20.,0.88078636,7.9247904
339,Elixir community. 2022. “Bio.tools.” Bio.tools. 2022. https://bio.tools/.,-4.450352,8.021995
340,"Fedorov, Andriy, Reinhard Beichel, Jayashree Kalpathy-Cramer, Julien Finet, Jean-Christophe Fillion-Robin, Sonia Pujol, Christian Bauer, et al. 2012. “3D Slicer as an Image Computing Platform for the Quantitative Imaging Network.” Magnetic Resonance Imaging 30 (9): 1323– 41.",-1.3172709,8.203576
341,"Gibbs, Holly C., Sakina M.",2.7808151,7.163148
342,"Mota, Nathan A.",1.7743566,7.906094
343,"Hart, Sun Won Min, Alex O.",2.3808074,6.228599
344,"Vernino, Anna L.",2.2975028,7.521319
345,"Pritchard, Anindito Sen, et al. 2021. “Navigating the Light-Sheet Image Analysis Software Landscape:",-2.1499238,8.528104
346,Concepts for Driving Cohesion From Data Acquisition to Analysis.” Frontiers in Cell and Developmental Biology 9 (November): 739079.,-3.9304125,8.222429
347,"Gómez-de-Mariscal, Estibaliz, Carlos García-López-de-Haro, Wei Ouyang, Laurène Donati, Emma Lundberg, Michael Unser, Arrate Muñoz-Barrutia, and Daniel Sage. 2021. “DeepImageJ:",1.8018289,5.928068
348,A User-Friendly Environment to Run Deep Learning Models in ImageJ.” Nature Methods 18 (10): 1192–95.,-2.889185,7.822638
349,"Gürsoy, Dogˇa, Francesco De Carlo, Xianghui Xiao, and Chris Jacobsen. 2014. “TomoPy:",-0.6548685,8.473029
350,A Framework for the Analysis of Synchrotron Tomographic Data.” Journal of Synchrotron Radiation 21 (Pt 5): 1188–93.,-2.5848916,9.808632
351,"Gustafsson, Nils, Siân Culley, George Ashdown, Dylan M.",2.0696225,6.4821005
352,"Owen, Pedro Matos Pereira, and Ricardo Henriques. 2016. “Fast Live-Cell Conventional Fluorophore Nanoscopy with ImageJ through Super-Resolution Radial Fluctuations.” Nature Communications 7 (August): 12471.",-1.0514911,8.890363
353,"Haase, Robert. 2021. “Image Processing Filters for Grids of Cells Analogous to Filters Processing (November).",-1.3302786,7.8099837
354,Computer Science Pixels.” of 3 in Grids https://doi.org/10.3389/fcomp.2021.774396.,-1.2656697,6.9661193
355,"Frontiers Haase, Robert, Akanksha Jain, Stéphane Rigaud, Daniela Vorkel, Pradeep Rajasekhar, Theresa Suckert, Talley J.",1.7118515,6.689378
356,"Lambert, et al. 2020. “Interactive Design of GPU-Accelerated Image Data Flow Graphs and Cross-Platform Deployment Using Multi-Lingual Code Generation.” bioRxiv. https://doi.org/10.1101/2020.11.19.386565.",-1.4200746,7.2348576
357,"Haase, Robert, Loic A.",1.9208695,7.006008
358,"Royer, Peter Steinbach, Deborah Schmidt, Alexandr Dibrov, Uwe Schmidt, Martin Weigert, et al. 2020. “CLIJ:",1.7140948,6.477123
359,GPU-Accelerated Image Processing for Everyone.” Nature Methods 17 (1): 5–6.,-1.5601276,7.115119
360,"Harris, Charles R., K.",2.1727386,7.715015
361,"Jarrod Millman, Stéfan J. van der Walt, Ralf Gommers, Pauli Virtanen, David Cournapeau, Eric Wieser, et al. 2020. “Array Programming with NumPy.” Nature 585 (7825): 357–62.",-1.1728432,6.166201
362,"Helmstaedter, Moritz, Kevin L.",2.7775116,7.8290253
363,"Briggman, and Winfried Denk. 2011. “High-Accuracy Neurite Reconstruction for High-Throughput Neuroanatomy.” Nature Neuroscience 14 (8): 1081–88.",-1.7350824,8.27791
364,"Hörl, David, Fabio Rojas Rusak, Friedrich Preusser, Paul Tillberg, Nadine Randel, Raghav K.",2.1838796,6.548548
365,"Chhetri, Albert Cardona, et al. 2019. “BigStitcher:",1.0008378,6.960756
366,Reconstructing High-Resolution Image Datasets of Cleared and Expanded Samples.” Nature Methods 16 (9): 870–74.,-3.0485482,8.287669
367,"Hunter, John D. 2007. “Matplotlib:",-1.9016352,5.914744
368,A 2D Graphics Environment.” Computing in Science & Engineering 9 (3): 90–95.,-2.664678,6.964434
369,"Hu, Yuzhi, Ajay Limaye, and Jing Lu. 2020. “Three-Dimensional Segmentation of Computed Tomography Data Using :",-1.5289414,8.070794
370,New Tools and Developments.” Royal Society Open Science 7 (12): 201033.,-3.8501413,7.3456745
371,"Jones, Thouis R., In Han Kang, Douglas B.",2.1626313,7.477955
372,"Wheeler, Robert A.",1.8406054,7.330598
373,"Lindquist, Adam Papallo, David M.",2.3883922,6.939521
374,"Sabatini, Polina Golland, and Anne E.",2.7268329,6.3003697
375,Carpenter. 2008. “CellProfiler Analyst:,-2.2466075,8.559687
376,Data Exploration and Analysis Software for Complex Image-Based Screens.” BMC Bioinformatics 9 (November): 482.,-3.4724905,8.220439
377,"Klein, Stefan, Marius Staring, Keelin Murphy, Max A.",2.3540213,6.321175
378,"Viergever, and Josien P.",2.0532212,8.13981
379,W.,1.8456106,7.842844
380,Pluim. 2010. “Elastix:,0.034904946,7.582482
381,A Toolbox for Intensity-Based Medical Image Registration.” IEEE Transactions on Medical Imaging 29 (1): 196–205.,-2.0269797,7.5023685
382,"Kluyver, Thomas, Benjamin Ragan-Kelley, Fernando Pérez, Brian Granger, Matthias Bussonnier, Jonathan Frederic, Kyle Kelley, et al. 2016. “Jupyter Notebooks – a Publishing Format for Reproducible Computational Workflows.” In Positioning and Power in Academic Publishing:",-0.885923,7.112422
383,"Players, Agents and Agendas, 87–90.",1.6353686,7.4796124
384,IOS Press.,0.01947691,8.079405
385,"Kremer, J.",1.4213017,8.348508
386,"R., D.",1.8039277,7.8286743
387,N.,1.4143745,7.9110265
388,"Mastronarde, and J.",2.0669057,8.223016
389,R.,1.7905493,7.9279213
390,McIntosh. 1996. “Computer Visualization of Three- Dimensional Image Data Using IMOD.” Journal of Structural Biology 116 (1): 71–76.,-2.5011344,9.0426655
391,"Krull, Alexander, Tim-Oliver Buchholz, and Florian Jug. 2018. “Noise2Void - Learning Denoising from Single Noisy Images.” http://arxiv.org/abs/1811.10980.",-1.030745,8.107568
392,"Laine, Romain F., Kalina L.",2.3817613,5.850513
393,"Tosheva, Nils Gustafsson, Robert D.",1.9751908,6.9256573
394,M.,1.8828005,8.201759
395,"Gray, Pedro Almada, David Albrecht, Gabriel T.",2.3478677,6.648229
396,"Risa, et al. 2019. “NanoJ:",0.24073943,7.533676
397,A High-Performance Open-Source Super- Resolution Microscopy Toolbox.” Journal of Physics D:,-1.281365,9.199174
398,Applied Physics 52 (16): 163001.,0.21483298,8.292389
399,"Legland, David, Ignacio Arganda-Carreras, and Philippe Andrey. 2016. “MorphoLibJ:",-0.85475683,7.554417
400,Integrated Library and Plugins for Mathematical Morphology with ImageJ.” Bioinformatics 32 (22): 3532–34.,-2.8055036,8.30723
401,"Levet, Florian, Anne E.",2.5335906,5.9664574
402,"Carpenter, Kevin W.",2.7956445,7.969361
403,"Eliceiri, Anna Kreshuk, Peter Bankhead, and Robert Haase. 2021. “Developing Open-Source Software for Bioimage Analysis:",-3.0669851,8.238894
404,Opportunities and Challenges.” F1000Research 10 (April): 302.,-4.1065173,7.2721696
405,"Levet, Florian, Eric Hosy, Adel Kechkar, Corey Butler, Anne Beghin, Daniel Choquet, and Jean- Baptiste Sibarita. 2015. “SR-Tesseler:",1.799566,5.905379
406,A Method to Segment and Quantify Localization- Based Super-Resolution Microscopy Data.” Nature Methods 12 (11): 1065–71.,-1.189732,9.137414
407,"Levin, Barnaby D.",2.1750033,7.5846705
408,"A., Yi Jiang, Elliot Padgett, Shawn Waldon, Cory Quammen, Chris Harris, Utkarsh Ayachit, et al. 2018. “Tutorial on the Visualization of Volumetric Data Using Tomviz.” Microscopy Today 26 (1): 12–17.",-1.4224442,8.710319
409,"Limaye, Ajay. 2012. “Drishti:",0.9608979,8.005336
410,"A Volume Exploration and Presentation Tool.” In Developments in X-Ray Tomography VIII, edited by Stuart R.",-2.6081495,9.874973
411,Stock.,1.209369,8.0587435
412,SPIE. https://doi.org/10.1117/12.935640.,-0.72065496,8.249679
413,"Linkert, Melissa, Curtis T.",2.7950146,7.334198
414,"Rueden, Chris Allan, Jean-Marie Burel, Will Moore, Andrew Patterson, Brian Loranger, et al. 2010. “Metadata Matters:",1.4338968,6.2161508
415,Access to Image Data in the Real World.” The Journal of Cell Biology 189 (5): 777–82.,-3.3447213,8.227456
416,"Lobet, Guillaume, Xavier Draye, and Claire Périlleux. 2013. “An Online Database for Plant Image Analysis Software Tools.” Plant Methods 9 (1): 38. “Macro Language.” 2022. 2022. https://imagej.nih.gov/ij/developer/macro/macros.html.",-2.1412463,7.7483177
417,"Marée, Raphaël, Loïc Rollus, Benjamin Stévens, Renaud Hoyoux, Gilles Louppe, Rémy Vandaele, Jean-Michel Begon, Philipp Kainz, Pierre Geurts, and Louis Wehenkel. 2016. “Collaborative Analysis of Multi-Gigapixel Imaging Data Using Cytomine.” Bioinformatics 32 (9): 1395–1401.",-1.3799055,8.323353
418,"Marsh, Richard J., Ishan Costello, Mark-Alexander Gorey, Donghan Ma, Fang Huang, Mathias Gautel, Maddy Parsons, and Susan Cox. 2021. “Sub-Diffraction Error Mapping for Localisation Microscopy Images.” Nature Communications 12 (1): 5611.",-1.0889014,8.6945095
419,"Mastronarde, David N. 2005. “Automated Electron Microscope Tomography Using Robust Prediction of Specimen Movements.” Journal of Structural Biology 152 (1): 36–51.",-2.495923,9.728047
420,"Mathis, Alexander, Pranav Mamidanna, Kevin M.",2.750446,7.2482967
421,"Cury, Taiga Abe, Venkatesh N.",1.4430736,6.5561166
422,"Murthy, Mackenzie Weygandt Mathis, and Matthias Bethge. 2018. “DeepLabCut:",0.987289,6.767696
423,Markerless Pose Estimation of User-Defined Body Parts with Deep Learning.” Nature Neuroscience 21 (9): 1281–89.,-2.7849278,7.886335
424,"McQuin, Claire, Allen Goodman, Vasiliy Chernyshev, Lee Kamentsky, Beth A.",2.5474095,6.1323447
425,"Cimini, Kyle W.",2.805587,6.5094094
426,"Karhohs, Minh Doan, et al. 2018. “CellProfiler 3.0:",-2.0402207,8.497253
427,Next-Generation Image Processing for Biology.” PLoS Biology 16 (7): e2005970.,-3.2246764,8.398953
428,"Meijering, E., M.",1.8868575,8.1859665
429,"Jacob, J-C F.",2.0715718,8.346218
430,"Sarria, P.",1.6698159,8.230711
431,"Steiner, H.",1.9182963,7.941047
432,"Hirling, and M.",2.0672762,8.161072
433,Unser. 2004. “Design and Validation of a Tool for Neurite Tracing and Analysis in Fluorescence Microscopy Images.” Cytometry.,-1.7132919,8.184488
434,Part A:,1.2404337,7.8576236
435,The Journal of the International Society for Analytical Cytology 58 (2): 167–76.,-0.193876,8.147952
